¾­¶È,Î³¶È
118.32761,31.83705
118.33761,31.84705
118.34761,31.85705
118.81761,31.86705
118.36761,31.87705
118.37761,31.88705
118.37761,31.89705
118.39761,31.70705
118.40761,31.71705
118.41761,31.72705
118.52761,31.73705
118.53761,31.74705
118.43761,31.75705
118.42761,31.76705
118.55761,31.77705
118.55761,31.78705
118.81761,31.71705
118.82761,31.98705
118.83761,31.97705
118.85761,31.96705
118.86761,31.95705
118.88761,31.94705
118.89761,31.93705
118.90761,31.92705
118.91761,31.91705
118.92761,31.90705
118.93761,31.80705
118.94761,31.81705
118.95761,31.82705
118.96761,31.43705
118.97761,31.44705
118.98761,31.45705
118.99761,31.46705
118.22761,31.47705
118.23761,31.48705
118.33761,31.49705
118.25761,31.50705
118.26761,31.70705
118.27761,31.71705
118.28761,31.72705
118.29761,31.73705
118.30761,31.43705
118.91761,31.92705
118.92761,31.91705
118.93761,31.90705
118.94761,31.80705
118.95761,31.81705
118.96761,31.82705
