经度,纬度,发生时间
118.32761,31.83705,2015/9/10 12:59
118.33761,31.84705,2015/9/10 20:31
118.34761,31.85705,2015/9/10 20:40
118.81761,31.86705,2015/9/10 20:58
118.36761,31.87705,2015/9/12 8:08
118.37761,31.88705,2015/9/12 14:25
118.37761,31.89705,2015/9/12 21:10
118.39761,31.70705,2015/9/12 22:58
118.40761,31.71705,2015/9/12 22:58
118.41761,31.72705,2015/9/13 10:25
118.52761,31.73705,2015/9/14 10:40
118.53761,31.74705,2015/9/14 11:30
118.43761,31.75705,2015/9/14 22:33
118.42761,31.76705,2015/9/15 5:11
118.55761,31.77705,2015/9/15 7:11
118.55761,31.78705,2015/9/15 11:59
118.81761,31.71705,2015/9/15 20:11
118.82761,31.98705,2015/9/15 21:12
118.83761,31.97705,2015/9/15 23:41
118.85761,31.96705,2015/9/16 9:23
118.86761,31.95705,2015/9/16 12:31
118.88761,31.94705,2015/9/16 12:50
118.89761,31.93705,2015/9/18 19:22
118.90761,31.92705,2015/9/19 10:33
118.91761,31.91705,2015/9/20 20:10
118.92761,31.90705,2015/9/21 10:11
118.93761,31.80705,2015/9/22 11:15
118.94761,31.81705,2015/9/22 11:30
118.95761,31.82705,2015/9/22 22:33
118.96761,31.43705,2015/9/23 5:11
118.97761,31.44705,2015/9/23 7:11
118.98761,31.45705,2015/9/23 11:59
118.99761,31.46705,2015/9/23 20:11
118.22761,31.47705,2015/9/23 21:12
118.23761,31.48705,2015/9/23 23:41
118.33761,31.49705,2015/9/24 9:23
118.25761,31.50705,2015/9/24 12:31
118.26761,31.70705,2015/9/24 12:50
118.27761,31.71705,2015/9/25 7:30
118.28761,31.72705,2015/9/25 11:30
118.29761,31.73705,2015/9/26 19:27
118.30761,31.43705,2015/9/26 20:31
118.91761,31.92705,2015/9/26 20:40
118.92761,31.91705,2015/9/26 20:58
118.93761,31.90705,2015/9/27 8:08
118.94761,31.80705,2015/9/27 14:25
118.95761,31.81705,2015/9/29 10:11
118.96761,31.82705,2015/9/30 11:15
